gene_id,PTEN_normal_mean_Z,PTEN_normal_mean_RSEM,PTEN_normal_median_RSEM,PTEN_deleted_mean_Z,PTEN_deleted_mean_RSEM,PTEN_deleted_median_RSEM,Z_score_diff,log2_fold_change,log2_median_change
MUC2,0.06091986779420575,1262.0459893442624,0.7511,-0.13226925376545742,3.2660131147540983,0.3123,0.19318912155966317,8.594018184103922,1.2660724287935525
CARTPT,0.03662983026352824,3555.515892622951,0,-0.09509109218395158,18.436968852459017,0,0.13172092244747982,7.591313607089986,NaN
CHGB,-0.010064313374517296,1782.061017896175,2.6912000000000003,-0.06618651764280639,11.47894262295082,1.9961,0.056122204268289094,7.278413170458263,0.4310656125303991
SMR3B,-0.005570775811098953,996.5783360655737,0,-0.046351088779532985,12.474952459016393,0,0.040780312968434033,6.31987698990469,NaN
PCSK1,0.006435415867535301,1257.308468852459,9.1812,-0.0932837012781643,20.25524262295082,11.1682,0.0997191171456996,5.9558994685387345,-0.28264204864425313
KRT1,0.018445158796598745,609.8092722677595,2.5471000000000004,-0.030898280794691497,9.968690163934426,1.9357,0.04934343959129024,5.934810322587707,0.3960002242412774
HSD3B2,0.020781448881599888,119.60210068306012,0.73035,-0.06164255040299487,2.1233360655737705,0.3281,0.08242399928459476,5.8157661907545135,1.154452407471864
CYP2A7,0.03519803021582057,719.4571954918033,1.03085,-0.08892149248822674,13.981295081967213,0.3548,0.1241195227040473,5.685338947270045,1.5387565052483274
UGT2B4,0.006323176124135646,167.10902841530054,0.71135,-0.09037701835261883,3.25742131147541,0,0.09670019447675447,5.680915541427001,Inf
TRH,0.005885041632981066,518.0926461748634,6.04665,-0.10946769042317174,13.698860655737706,1.6407,0.1153527320561528,5.241082292783443,1.8818246055377192
SULT1C3,0.01845177084377674,58.52632158469945,0,-0.08559102910879697,2.075281967213115,0,0.1040427999525737,4.817706334318892,NaN
LACRT,-0.026357281030758843,117.5299225409836,0,-0.0505171804885583,5.255950819672131,0,0.024159899457799457,4.48293252008356,NaN
